City,Name,Year,Price,Kilometers Driven,KM,State,Transmission,Fuel Type,EMI per Month
delhi-ncr,Ford Figo Aspire,2016,387000,29K km,29000,DL,manual,petrol,6178
delhi-ncr,Kia Seltos,2021,1049000,89K km,89000,DL,manual,petrol,18040
delhi-ncr,Hyundai Grand i10,2018,509000,40.5K km,40500,UP,automatic,petrol,8667
delhi-ncr,Maruti Wagon R 1.0,2023,527000,8K km,8000,HR,manual,petrol,9418
delhi-ncr,Maruti Ertiga,2014,502000,79K km,79000,UP,manual,petrol,10773
delhi-ncr,Renault Kwid,2019,315000,19K km,19000,UP,manual,petrol,5364
delhi-ncr,Hyundai Elite i20,2018,537000,15.5K km,15500,DL,manual,petrol,9144
delhi-ncr,Hyundai Verna,2019,937000,47.5K km,47500,DL,automatic,petrol,15956
delhi-ncr,Maruti Ciaz,2017,599000,58.5K km,58500,HR,manual,Petrol,
delhi-ncr,Hyundai Venue,2022,851000,28.5K km,28500,HR,manual,petrol,14492
delhi-ncr,Tata Punch,2023,828000,11K km,11000,DL,automatic,petrol,14100
delhi-ncr,Renault Kwid,2020,348000,19.5K km,19500,HR,automatic,petrol,5926
delhi-ncr,Hyundai Eon,2014,256000,34K km,34000,HR,manual,petrol+cng,5494
delhi-ncr,Datsun Redi-GO,2019,197000,39.5K km,39500,DL,manual,petrol,4228
delhi-ncr,Maruti Wagon R 1.0,2013,283000,46.5K km,46500,DL,manual,petrol+cng,7628
delhi-ncr,Toyota Yaris,2020,614000,48K km,48000,DL,manual,petrol,9802
delhi-ncr,Honda Amaze,2013,295000,97K km,97000,DL,automatic,petrol,7951
delhi-ncr,Hyundai Creta,2017,693000,108K km,108000,DL,automatic,petrol,11801
delhi-ncr,Maruti Swift Dzire,2013,302000,39.5K km,39500,DL,manual,petrol,8140
delhi-ncr,Honda Amaze,2014,358000,51K km,51000,DL,manual,petrol,7683
delhi-ncr,Volvo V40 Cross Country,2016,1180000,50K km,50000,UP,automatic,petrol,20293
delhi-ncr,Mercedes GLC,2017,3150000,61K km,61000,DL,automatic,petrol,54176
delhi-ncr,Tata Nexon,2019,668000,29.5K km,29500,DL,automatic,petrol,11375
delhi-ncr,Maruti Baleno,2021,718000,31K km,31000,UP,automatic,petrol,12227
delhi-ncr,Hyundai Eon,2014,215000,52K km,52000,HR,manual,petrol,4325
delhi-ncr,Kia Sonet,2022,1168000,24.5K km,24500,HR,automatic,petrol,20087
delhi-ncr,Hyundai Elite i20,2018,624000,23K km,23000,HR,manual,petrol,10626
delhi-ncr,Tata Nexon,2022,878000,19K km,19000,DL,manual,petrol,14951
delhi-ncr,Renault Kiger,2022,562000,39K km,39000,HR,manual,petrol,9570
delhi-ncr,Honda Amaze,2019,599000,40.5K km,40500,DL,automatic,petrol,10200
delhi-ncr,Hyundai Venue,2022,1039000,26K km,26000,HR,automatic,petrol,17868
delhi-ncr,Tata Tiago,2018,409000,79.5K km,79500,DL,automatic,petrol,6965
delhi-ncr,Tata Tiago,2018,418000,35K km,35000,UP,manual,petrol,7118
delhi-ncr,Honda City,2015,580000,33K km,33000,UP,automatic,petrol,10557
delhi-ncr,Mahindra Thar,2021,1039000,41K km,41000,HR,manual,petrol,17868
delhi-ncr,Hyundai Elite i20,2019,541000,36.5K km,36500,DL,manual,petrol,9212
delhi-ncr,Maruti Swift Dzire,2016,412000,46K km,46000,DL,manual,petrol,7016
delhi-ncr,Maruti Vitara Brezza,2022,810000,54K km,54000,DL,manual,petrol,13793
delhi-ncr,Maruti A-Star,2012,225000,79K km,79000,DL,automatic,petrol,8022
delhi-ncr,Tata Tiago,2021,512000,53K km,53000,HR,manual,petrol,8719
delhi-ncr,Mercedes GLA,2017,1970000,40K km,40000,HR,automatic,petrol,33881
delhi-ncr,Mercedes GLA,2019,2300000,50K km,50000,DL,automatic,petrol,39556
delhi-ncr,Volkswagen Virtus,2024,1149000,26K km,26000,HR,manual,petrol,19760
delhi-ncr,Tata Punch,2021,627000,25.5K km,25500,DL,manual,petrol,10677
delhi-ncr,Maruti Celerio,2016,354000,47K km,47000,DL,automatic,petrol,6028
delhi-ncr,Maruti Baleno,2018,528000,28K km,28000,DL,manual,petrol,8991
delhi-ncr,Toyota Innova Crysta,2023,2063000,51K km,51000,HR,automatic,petrol,35478
delhi-ncr,Hyundai Venue,2021,705000,25K km,25000,HR,manual,petrol,12005
delhi-ncr,Maruti New Ertiga,2022,819000,27.5K km,27500,DL,manual,petrol,13947
delhi-ncr,Kia Sonet,2021,876000,36K km,36000,HR,manual,petrol,14917
delhi-ncr,Kia Carens,2023,1319000,16K km,16000,HR,manual,petrol,22684
delhi-ncr,Honda City,2014,418000,115K km,115000,UP,manual,petrol,8971
delhi-ncr,Tata Nexon,2020,895000,45.5K km,45500,DL,automatic,diesel,15241
delhi-ncr,Ford Freestyle,2018,359000,102.5K km,102500,UP,manual,petrol,6534
delhi-ncr,Maruti Alto,2012,165000,93K km,93000,DL,manual,petrol,6275
delhi-ncr,Tata Tiago,2019,432000,68K km,68000,DL,manual,diesel,7356
delhi-ncr,Hyundai Creta,2019,897000,85.5K km,85500,DL,automatic,diesel,15275
delhi-ncr,Honda City,2021,1168000,40K km,40000,DL,automatic,petrol,20087
